,TranslatedRecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions
2185,Malai Kofta Curry Recipe - Creamy and Healthy Paneer Aloo Kofta Curry,"3 Potatoes (Aloo) - boiled,1-1/2 cups Paneer (Homemade Cottage Cheese) - crumbled,1/2 teaspoon Garam masala powder,1/2 teaspoon Red Chilli powder,2 tablespoons Gram flour (besan),1/4 cup Coriander (Dhania) Leaves - finely chopped,1/2 cup Raisins - a handful,Salt - to taste,Sunflower Oil - for cooking,1 tablespoon Ghee - for cooking,1 inch Ginger - finely chopped,4 cloves Garlic - finely chopped,1 Onion - finely chopped,2 cups Homemade tomato puree,2 teaspoons Coriander Powder (Dhania),1/2 teaspoon Garam masala powder,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Red Chilli powder,1/2 teaspoon Cardamom Powder (Elaichi),1 tablespoon Honey,1/4 cup Fresh cream,1 tablespoon Kasuri Methi (Dried Fenugreek Leaves) - for garnishing,Salt - to taste",20,40,60,4,North Indian,Main Course,Vegetarian,"To begin making the Malai Kofta Recipe, combine all the ingredients for the koftas in a bowl and divide them into lemon size balls.Flatten the balls in the palm of your hands and place a couple of raisins in the center. Close the kofta dough back into a ball and keep aside.The next step is to cook the Malai Koftas either in the Kuzhi Paniyaram PanIf you plan to use the Kuzhi Paniyaram Pan; then place the kofta balls in the pan's cavities; drizzle the koftas with a little oil and pan fry them until golden brown on both sides. You will have to flip the kofta balls so they fry on all sides evenly. The next step is to make the Kofta CurryHeat oil in a heavy bottomed pan; add in the grated ginger, garlic, onions and sauté for a few seconds until the onions soften.Stir in the tomato puree, honey, turmeric powder, cardamom powder, garam masala powder, coriander powder, salt and chilli powder to taste.Bring the kofta curry to a boil and simmer for a couple of minutes till the tomatoes get cooked through.Finally add in the cream and the kasuri methi and stir it into the kofta curry.Adjust the consistency of the malai kofta curry by adding water if required. Do make sure to check the salt and spice levels and adjust according to your taste. When you are ready to serve, place the kofta curry in the serving bowl and add the warm malai kofta balls in the curry, garnish with coriander leaves and serve hot.Serve Non Fried Malai Kofta Recipe with Tawa parathas and Mixed Vegetable Pulao Recipe and Mooli Raita for lunch or dinner. You can even serve the Malai Kofta for a indian dinner party menu."
2186,Achari Masala Powder Recipe,"2 tablespoons Coriander (Dhania) Seeds,1 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Mustard seeds,1 teaspoon Kalonji (Onion Nigella Seeds),1 teaspoon Cumin seeds (Jeera),1 teaspoon Fennel seeds (Saunf),4 Dry Red Chillies",10,5,15,4,North Indian,Main Course,Vegetarian,"To begin making the Achari Masala Recipe, we will dry roast all the ingredients over a flat skillet.After dry roasting the spices, grind the entire mixture in a grinder to a smooth powder.Transfer Achari Masala Recipe in an airtight container for a later use. This can stay good for at least a month.You can use the Achari Masala powder for Achari Paneer Tikka Recipe or Achari Paratha Roll Recipe to make a delicious meal."
2193,Cabbage & Buttermilk Curry Recipe,"1 Cabbage (Patta Gobi/ Muttaikose) - medium sized,4 Green Chillies - slit,1 teaspoon Mustard seeds,Asafoetida (hing) - a pinch,1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil - for tadka,1 cup Curd (Dahi / Yogurt),3 tablespoons Gram flour (besan),1/2 cup Water,Salt - to taste",15,20,35,3,Indian,Lunch,Gluten Free,"To prepare Cabbage & Buttermilk Curry Recipe, prep up with all the ingredients needed.Heat oil in a Kadai on a medium flame and add mustard seeds.Once mustard seeds splutter, add asafoetida, salt, and turmeric.Add chopped cabbage and saute for 2 minutes.Blend all the ingredients of Buttermilk curry well with a wire whisk, transfer them to a pan.Let the buttermilk mixture boil and once done, mix it with cabbage curry and switch off the flame.Garnish with coriander and Cabbage & Buttermilk Curry Recipe goes well with hot chapati, phulka or plain cooked rice."
2195,Dhaba Style Dal Fry Recipe,"Ghee - as required,1 teaspoon Asafoetida (hing),1 teaspoon Cumin seeds (Jeera),1 teaspoon Mustard seeds,1 Bay leaf (tej patta) - broken,3 Green Chillies - salted,4 Cloves (Laung),1 Black cardamom (Badi Elaichi),1 Star anise,2 Cardamom (Elaichi) Pods/Seeds,2 Onions - thinly sliced,1 Tomato - finely chopped,1-1/2 tablespoons Ginger Garlic Paste,1 teaspoon Red Chilli powder,1 teaspoon Coriander Powder (Dhania),3 teaspoon Green Chillies,1 sprig Coriander (Dhania) Leaves - finely chopped,2 tablespoons Arhar dal (Split Toor Dal),2 tablespoons Chana dal (Bengal Gram Dal),2 tablespoons Masoor Dal (Whole),2 tablespoons White Urad Dal (Split),2 tablespoons Yellow Moong Dal (Split),Water - as required,Salt - to taste,1-1/2 Turmeric powder (Haldi)",10,20,30,2,North Indian,Lunch,Vegetarian,"To begin making the Dhaba Style Dal Fry, firstly we will boil all the dals together. Add the dals in a pressure cooker with 1/2 teaspoon turmeric powder and the required salt.Cook it till the pressure cooker releases atlas 3 whistles. Open the lid once it is cooled down and mix the dal properly. Keep it aside.Heat oil in a heavy bottomed pan and add hing, cumin seeds and mustard seeds.Once it splutters add bay leaf, badi elaichi, green cardamom, star anise, cloves and salted dry green chillies.After 30 seconds, add the green chillies and ginger-garlic paste. Cook it for about a minute.Next, add the thinly sliced onions and let it cook till they turn brown.Once done, add the tomatoes and all the masalas including, turmeric powder, red chilli powder, coriander powder and the required salt.Add a little water and cook it for about 5 to 8 minutes or till the masala is properly cooked.Now, add in the cooked dal and adjust the consistency of water according to your taste and preference.Let it simmer for 8 to 10 minutes, switch off the stove and garnish with fresh coriander leaves.Serve Dhaba Style Dal Fry with Sev Tamatar Ki Sabzi, Tomato Onion Cucumber Raita and Phulka for a perfect Rajasthani meal.
"
2197,Sabudana Vada Recipe - Deep Fried Sago Patties/Cutlets,"1 cup Sabudana (Tapioca Pearls) - soaked overnight,2 Potatoes (Aloo) - boiled,1/4 cup Roasted Peanuts (Moongphali) - lightly crushed,4 Green Chillies - finely chopped,1 teaspoon Cumin seeds (Jeera),1/4 teaspoon Sugar - coarsely ground,1/2 teaspoon Lemon juice,3 tablespoon Coriander (Dhania) Leaves - finely chopped,Salt - to taste,Sunflower Oil - for deep frying,3/4 cup Curd (Dahi / Yogurt),1 Potato (Aloo) - peeled and mashed,2 tablespoon Roasted Peanuts (Moongphali) - coarsely ground,2 Green Chillies - finely chopped,1/2 teaspoon Sugar,Salt - to taste",15,30,45,4,Indian,Snack,Vegetarian," To begin making the Sabudana Vada Recipe,  prep all the ingredients and keep them ready. Place a kadai with oi on heat for deep frying the vadas.For the Sabudana Vada:Combine all the ingredients like the sabudana pearls, potato, roasted peanuts, cumin seeds, green chillies, sugar, lemon juice, coriander leaves and salt to taste in a bowl.Mix well so that everything comes together to form a dough.Make lemon sized balls from the dough and flatten into patties. Deep fry on medium flame till golden brown.The vadas should be crisp on the outside but also properly cooked inside , adjust the heat accordinglyDrain on an absorbent paper and serve immediately with chutney of choice.For the Curd chutney:Whisk the curd. Add potatoes,roasted peanuts, green chillies, sugar and salt, mix and serve immediately with the sabudana vada.Serve Sabudana Vada Recipe as an evening snack along with Green Chutney Recipe and Masala Chai Recipe."
2199,Oats and Vegetable Kebab Recipe,"1 cup Elephant yam (Suran/Senai/Ratalu) - chopped and boiled,1 cup Raw Banana - chopped and boiled,1 cup Carrots (Gajjar) - chopped,1 Onion - chopped,1 inch Ginger - chopped,4 cloves Garlic - chopped,1 tablespoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1 tablespoon Cumin powder (Jeera),1 tablespoon Coriander Powder (Dhania),1 tablespoon Amchur (Dry Mango Powder),1/2 cup Instant Oats (Oatmeal) - for coating,1/4 cup Milk,Salt and Pepper - to taste,Sunflower Oil",15,35,50,4,North Indian,Snack,Vegetarian,"We begin making the Oats and Vegetable Kebab Recipe by pressure cooking the yam and raw banana with water, salt and turmeric till it becomes mushy, boil it for about 6 whistles. Release the pressure naturally. Strain any excess water and mash it completely and keep it aside .Heat a kadai with oil, add in the onions, garlic and ginger sauté till the onions become translucent. Then add in the carrot and keep frying till the carrot gets cooked. Then add in all the spice powder mix well and sauté till the raw smell of the chilli goes away.  Add this into the smashed yam and raw banana mixture and mix well, check for seasoning if required.Shape them into medium sized balls and flatten them into a cutlet. Place the oats on a plate. Dip them in the milk and coat it well with oats.Heat a flat pan, drizzle some oil and toast them on medium heat till it becomes golden brown on either side or serve.Serve the Oats and Vegetable Kebab Recipe as a healthy afternoon snack "
2200, Chana Methi Dal (Recipe In Hindi),"1 cup chana dal, fenugreek - one bundle (wash), 1/4 teaspoon asafoetida, 1 teaspoon cumin seeds, 1 onion - finely chopped, 1 tomato - chopped, 2 teaspoon coriander powder, 1 teaspoon turmeric powder , 1 teaspoon red chilli powder, salt - as per taste, 2 teaspoons oil",15,30,45,4,North Indian,Side Dish,High Protein Vegetarian,"To make chana methi dal, first wash and soak the chana dal in 3 cups of water. Wash and dry the fenugreek as well. Cut the fenugreek after it dries. Now heat oil in a pan. Add fenugreek to it and cook till they become soft. After cooking, keep it aside. Now heat oil in a pressure cooker. Add asafetida and cumin seeds and let it cook for 10 seconds. Now add onions and cook till they become soft. After the onion becomes soft, add tomatoes, coriander powder, turmeric powder, red chili powder, mix and cook till the tomatoes become soft. Now add chana dal to it, mix and close the cooker. Cook until 2 to 3 cities come, reduce the flame and let it cook for 5 minutes, turn off the gas after 5 minutes and let the pressure drain. Open the cooker, mash the dal a little and add fenugreek to it. Mix well and serve hot. Serve chana methi dal along with gourd large vegetables and phulka for dinner."
2205,Spicy Chana Chaat Frankie Recipe,"1 cup Whole Wheat Flour,1 pinch Salt,1 cup Kabuli Chana (White Chickpeas) - soaked overnight and boiled,1 inch Ginger - chopped,4 cloves Garlic - pound,1 tablespoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),2 tablespoon Cumin powder (Jeera),2 tablespoon Chaat Masala Powder,1 teaspoon Sugar,Salt - to taste,1 Onion - chopped,1 Tomato - chopped,1 Green Chilli - chopped,2 sprig Coriander (Dhania) Leaves - chopped",10,45,55,4,North Indian,Snack,Vegetarian,"To begin making Spicy Chana Chaat Frankie Recipe soak the chickpeas in water till overnight. Boil the chickpeas in a pressure cooker with water, so that lentils are fully immersed. Pressure cook them for 30 minutes until they are cooked.Remove from the heat, wait until all the pressure is released naturally. Strain the chickpeas and keep 1 cup of the cooked water for later use.Heat a sauce pan on medium heat with oil, add ginger garlic that is chopped and fry for 1 minutes till it softens.Add the cooked chickpeas, along with red chilli powder, turmeric power, chaat masala, cumin powder, sugar and salt. Give it a toss. At this point add the preserved water and cook until the water is all evaporated and you get a little wet gravy.Switch off the heat and add all the chopped vegetables along coriander leaves and give it a toss. Check for salt and keep it aside.To make the parathasKnead the flour with water to form a firm dough. Take a medium sized ball from the dough, dust some flour on to your rolling board and flatten the dough. Start rolling the dough flat to form a big circle. Do not roll it too thin.With skillet on medium high heat, place one rolled out paratha on the skillet. After a few seconds you will notice an air pockets popping out. At this point flip the plain paratha and smear about 1/2 a teaspoon of ghee. Using a flat spatula do a light pressing and turning motion to cook to the paratha.Flip to the other side and press and turn the paratha in a similar way. You will notice brown spots around the parathas and it will be slightly crisp. Remove from heat and place on a platter or serve hot.Continue the similar process with the remaining rolled portions and stack the cooked paratha.To assembleTake out one paratha, smear mustard sauce evenly and spoon the stuffing and place it on one side of the paratha and start rolling it tightly.You can wrap it tightly with an aluminum foil and cover it tightly. This will help you to eat the roll more conveniently. You can cut it in the middle and peel off the wrapper and pack it for your lunch box as well.Serve the Spicy Chana Chaat Frankie along with green chutney and some fresh Carrot Cucumber Tomato Salad by the side to enjoy your evening snack."
2209, Matar Poha (Recipe In Hindi),"1 1/2 cups poha, 1 cup green peas, 2 onions - finely chopped, 3 green chillies - finely chopped, 1/2 teaspoon turmeric powder, 1 teaspoon mustard, 1 teaspoon cumin seeds, 2 sprig curry leaves, 1/4 teaspoon Asafoetida, salt - according to taste, coriander - finely chopped, lemon juice - lemon juice",15,10,25,4,North Indian,North Indian Breakfast,Vegetarian,"To make Matar Poha, first heat the water in a saucepan. Add the peas and cook till they become soft. Remove the peas and keep them aside. Now wash the poha thoroughly. Take out the water from the sieve female and keep it separately. Heat oil in a pan. Add asafetida, cumin seeds and mustard seeds and cook for 30 seconds. After 30 seconds, add curry leaves, green chilies and cook for 1 minute. Add onion after 1 minute and cook till the onion becomes soft. After the onion softens, add turmeric powder, salt, peas and poha to it. Mix well, sprinkle some water, cover the pan and cook for 2 to 3 minutes. Turn off the gas and cover the pan. Leave it covered for 5 to 6 minutes and garnish with green coriander and add lemon juice and mix. Serve Matar Poha with Masala Tea for breakfast and fruits of your choice."
2211,Cheese Garlic Naan Recipe,"1-1/2 cup All Purpose Flour (Maida),1 cup Whole Wheat Flour,1/2 cup Curd (Dahi / Yogurt),1 1/2 teaspoon Active dry yeast,Salt - to taste,1 tablespoon Garlic - minced,1/4 cup Coriander (Dhania) Leaves - finely chopped,1 tablespoon Butter,1 teaspoon Sunflower Oil,1 cup Cheese - grated,2 tablespoons Garlic - finely chopped,Butter - to smear on the naans",30,15,45,4,North Indian,Main Course,Vegetarian,"To begin making the Cheese Garlic Naan Recipe, we need to make the dough to ensure it is well rested. To make the dough in a mixing bowl, combine the all purpose flour, along with the whole wheat flour, active dry yeast, salt, garlic, coriander leaves, butter and mix well until the ingredients are well combined. Now knead the dough with the curd and use the required amount of water to knead a soft dough. Finally add in a teaspoon of oil and knead into a smooth dough and shape it into a large dough ball. Place this in a greased bowl, and cover with a damp cloth and keep it rested in a warm place for about two hours. Once the naan dough has doubled in size, punch down the dough, knead for a minute and divide into equal portions.Heat a cast iron tawa on medium heat, and keep it ready.Roll out each dough ball into a 4 inch diameter, place the grated cheese, and bring the edges together and make a potli, flatten between your palms, dust it in flour and begin to roll in a way that we get elongated, oval naans. Brush water on one side of the naan, and evenly spread it on the entire surface of the naan, now place this naan on the tawa, with the water side face down, quickly sprinkle some chopped garlic, and press it down on the naan, in a way it gets embedded in the Cheese Garlic Naan. Next, after about 40 seconds, flip the tawa upside down, in a way that the tawa is up and the naan is in direct contact with the flame. Gradually the naan , will fall off from the tawa, using a pair of tongs, take the Cheese Garlic Naan from the griddle and cook the other side directly on the flame. Keep moving the naan for even cooking. Remove from the flame, slather some butter and serve hot.  Serve hot Cheese Garlic Naan along with Spinach Mushroom Chickpea Curry Recipe or Tadkewali Masoor Dal Recipe - High Protein Masoor Dal Recipe,  Pudina Pyaz Kachumber Salad Recipe - Mint & Onion Salad  followed by a dessert of Mango Sago Kheer Recipe - Sabudana Kheer With Mangoes "
2213,Paneer Biryani Recipe,"2 cups Basmati rice,250 grams Paneer (Homemade Cottage Cheese) - cut into cubed,2 Onions - thinly sliced,5 Tomatoes - finely chopped,2 inch Ginger,4 cloves Garlic,2 Green Chillies,1/2 teaspoon Red Chilli powder,1 teaspoon Turmeric powder (Haldi),1 teaspoon Coriander Powder (Dhania),3 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),2 Cardamom (Elaichi) Pods/Seeds,2 Bay leaves (tej patta),1 teaspoon Whole Black Peppercorns,4 sprig Mint Leaves (Pudina) - finely chopped,2 tablespoons Ghee,Salt - to taste,Sunflower Oil - for cooking",10,45,55,4,Indian,Lunch,High Protein Vegetarian,"To begin making the Paneer Biryani Recipe, prepare all the ingredients and keep them ready for cooking.Wash and rinse the rice in water and keep aside.Using a mixer grinder, make a paste of the garlic, ginger and green chilies and keep aside.Make a powder of the spices - cloves, cardamom, pepper and cinnamon and keep aside.Heat ghee in the pressure cooker over medium heat; add the onion and saute until . Add the ginger garlic paste and saute until the raw smell goes away. Add the tomatoes and keep stirring in the ghee (add more if too dry) and cook until it becomes soft.Once the tomatoes are soft, add the bay leaves, turmeric powder, chili powder and the spice powders. Stir well for a few minutes until you can smell the aromas coming through. Once done add the chopped mint leaves and the rinsed rice.Add 3 cups of water, paneer and salt to taste and cover the cooker. After one whistle turn the heat to low. Simmer for 3 to 4 minutes on low heat and turn off the heat.Allow the pressure cooker to release its heat gradually, as the rice will continue to get cooked in the cooker.Once the pressure is released, open the cooker, wait for a few minutes and then stir to combine the rice and masalas and the Paneer Biryani is ready. Serve the Paneer Biryani along with a favorite Mooli Raita and Bagara Baingan to make a wholesome and complete meal. The Paneer Biryani also makes an excellent lunch box idea or even a weeknight dinner. "
2216,Nankhatai Recipe - A Spiced Eggless Indian Cookie,"1 cup All Purpose Flour (Maida),2 tablespoons Sooji (Semolina/ Rava),4 tablespoons Gram flour (besan),1/2 teaspoon Baking powder,1/4 teaspoon Salt,3/4 cup Caster Sugar,1/2 cup Ghee,1 teaspoon Cardamom Powder (Elaichi),3 tablespoons Curd (Dahi / Yogurt) - or more if required,1 cup Ghee",20,30,50,4,Indian,Snack,Vegetarian,"To begin making the Nankhatai Recipe, preheat the oven to 180 C. And prepare a baking sheet greased with butter or ghee.In a stand mixer or a large bowl, combine all the dry ingredients together. Add in the wet ingredients and beat until all the ingredients come together in the form of a dough. Place the dough in a cling wrap and refrigerate for about 3 hours until chill. This process is optional, but I like to do this as it makes the cookies more crunchy.Divide and shape the dough into lemon size balls, you can get about 25 to 30 balls of cookies. Give a slight thumb impression in the center.  Dip the balls in the crushed nuts.Arrange the Nankhatai in a baking sheet and place them in a preheated oven and bake until lightly golden brown for about 15 to 20 minutes.Serve the delicious spiced Nankhatai along with a hot cup of chai or pack it as a snack for the kids lunch box. Store them in an airtight container.Serve Nankhatai along with hot Masala Chai for your tea time break.
"
2219,Pudina Buttermilk Recipe,"1 cup Curd (Dahi / Yogurt),2 sprig Mint Leaves (Pudina) - chopped,1 inch Ginger - chopped,1/2 teaspoon Cumin seeds (Jeera) - roasted and ground",10,0,10,4,North Indian,Appetizer,Vegetarian,"To begin with Pudina Buttermilk recipe, firstly churn curd well in a narrow-mouthed utensil or glass. (Blender or a mixer can also be used)Add water and churn again. If curd is not thick, adjust the water quantity in the recipe as per the required consistency.Add pudina powder, jeera powder, salt and mix everything well. Refrigerate for cooling and serve chilled buttermilk with your meal.Serve Pudina Buttermilk everyday as a side dish with your lunch meal."
2223, Chickpea Soup Recipe,"1/2 cup of chickpea chickpea or chickpeas, 1 onion - chopped, 1 teaspoon ginger garlic paste, 1 teaspoon basil powder - or oregano, 1/2 teaspoon red chili flakes, 1 teaspoon black pepper powder, turmeric powder - a pinch, 1 teaspoon oil, lemon juice - as per taste, salt - as per taste",15,20,35,4,North Indian,Dinner,High Protein Vegetarian,"काबुली चना सूप रेसिपी बनाने के लिए सबसे पहले काबुली चना को धो कर 8 से 10 घंटे के लिए पानी में भिगो ले. इसके बाद काबुली चना को प्रेशर कुकर में 1 कप पानी और हल्दी पाउडर के साथ डाले और 3 से 4 सिटी आने तक पका ले. प्रेशर अपने आप निकलने दे और इसे ठंडा होने के लिए लग से रख ले. ठंडा होने के बाद, थोड़ा पानी डाले और मिक्सर ग्राइंडर में इसका पेस्ट बना ले. अलग से रख ले. एक कढ़ाई में तेल गरम करें। तेल गरम होने के बाद इसमें प्याज, अदरक, लहुसन का पेस्ट डाले और 3 से 4 मिनट के लिए पका ले.काबुली चने की प्यूरी, प्रयोग अनुसार पानी डाले और 5 से 6 मिनट के लिए पका ले. नमक, बेसिल पाउडर, रेड चिल्ली फलैक्स डाले, मिलाए और उबलने दे.उबाला आने के बाद, काली मिर्च पाउडर, निम्बू का रस डाले और 2 मिनट के लिए और पका ले. गरमा गरम परोसे।  काबुली चना सूप रेसिपी को गार्लिक ब्रेड और सलाद के साथ रात के खाने के लिए परोसे।
"
2224,Crispy Oven Roasted Curried Chickpeas Recipe,"1 cup Kabuli Chana (White Chickpeas),1 teaspoon Cumin powder (Jeera),1 tablespoon Kashmiri Red Chilli Powder,1/4 teaspoon Turmeric powder (Haldi),1/4 teaspoon Garam masala powder,1/2 teaspoon Coriander Powder (Dhania),1/4 teaspoon Garlic powder,1/4 teaspoon Dry ginger powder,Salt - to taste,1 tablespoon Extra Virgin Olive Oil",20,160,180,4,Indian,Snack,High Protein Vegetarian,"To begin making Crispy Oven Roasted Curried Chickpeas Recipes, firstly rinse the chickpeas and soak it in enough water overnight.Once its soaked add them to a  pressure cook and pressure cook for 2 whistles. Turn off the heat and let the pressure release naturally.Once the pressure cooker releases all the pressure, drain all the water from chickpeas. Pat them dry with a kitchen towel and make sure they are completely dry and has no moisture.In a wide bowl add all the spice powder, salt, olive oil and chickpeas. Toss them well to ensure all the spices are coated well on the chickpeas.Preheat the oven to 200 degree centigrade. Line a baking tray with good quality parchment paper.Transfer the masala coated chickpeas to the baking tray. Line them up in single layer spreading it evenly all over the tray.Roast them in an oven for about 45-55 minutes or until it turns crunchy. After 30 minutes check the chickpeas, if they are still undone keep it for another 10-15 minutes. Make sure you don’t burn them.When they are fully roasted, remove them from oven and let it cool completely and serveServe Crispy Oven Roasted Curried Chickpeas Recipe as an evening snack along with Cold Coffee Smoothie Recipe or Masala Chai Recipe - Indian Spiced Tea"
2229,Tamatar Gosht Recipe-Mutton In Tomato Curry,"500 grams Mutton - cut into medium piece,2 Onions - minced,1-1/2 tablespoon Garlic - paste,1 tablespoon Ginger - paste,4 Green Chillies - slit,3 Tomatoes - cut into 4 quadrants,1 tablespoon Coriander Powder (Dhania),1 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),Salt - as required,1/2 cup Mustard oil,2 tablespoons Coriander (Dhania) Leaves - chopped,2 Bay leaf (tej patta),1/2 Cinnamon Stick (Dalchini),2 Cloves (Laung),4 Whole Black Peppercorns,2 Cardamom (Elaichi) Pods/Seeds,1 Black cardamom (Badi Elaichi),1 teaspoon Ajwain (Carom seeds),1 teaspoon Mace (Javitri)",10,40,50,4,North Indian,Dinner,Non Vegeterian,"To begin making the Tamatar Gosht Recipe recipe, wash the mutton nicely and keep it aside.Soak all the whole spices in 1/2 cup of water for 10 to 15 minutes expect bay leaf and shah jeera.Once the spices are soaked nicely, grind them into a fine paste in a grinder and collect in a bowl and set side.Heat oil in a pressure cooker (preferable wide mouth) and add shahi jeera and bay leaf in it.Once the shahi jeera starts to crackle, add minced onion or onion paste and saute till raw smell goes off.Now add ginger garlic paste and fry all together till brownish in colour.Add in the slit green chilies, mutton pieces, tomatoes and mix well for few minutes till mutton starts loosing moisture.Now add turmeric powder, red chilli powder, coriander powder and 1 tablespoon of garam masala paste and fry well till oil starts leaving sides.Add salt as per taste and adjust oil if required.Once the masala is fried well, add in 1 cup of water or more(as per the consistency of the curry required) and stir well.Close the lid of the cooker and let it whistle 4 to 5 times or till the mutton is cooked. Do not over cook the mutton else it will go mushy and mix in the curry.Once the curry is done and the steam is released from the cooker, open the lid carefully and give a quick stir.Transfer the curry into a serving bowl and garnish with fresh coriander.Serve this enticing Tamatar Gosht with Roti or Rice with a dash of lemon juice on it."
2230, Masala Chaas Recipe,"3/4 cup curd, 1/4 teaspoon cumin powder, 1/4 teaspoon chaat masala powder, 1/8 teaspoon black salt or rock salt, 1/8 teaspoon ginger - grated, 1 green chili - finely chopped Take 1/8 teaspoon black pepper powder, asafetida - a pinch, salt - as per taste, 5 mint leaves - finely chopped, coriander leaves - a little, 1-1 / 2 cup water - cold",10,0,10,4,Indian,Snack,Vegetarian,"To make Masala Chas recipe, firstly add curd, cumin powder, chaat masala powder, black salt, ginger, green chillies, black pepper powder, asafoetida, salt, cold water in a bowl and blend it well with the help of blenders. After blending, add the Chas to the gloss. Add coriander and mint to top and mix. (If you want, you can also grind the mint and make pulses. Serve Masala Chas with Rajasthani Dal Baati Churma and Mirchi Chili for dinner. You can drink it even after eating it during the day."
2232, Matar Masala Recipe,"1 cup green peas, 2 tbsp oil, 1 tsp cumin, 1/2 tsp turmeric powder, 1-1 / 2 tsp red chilli powder, 1 tsp coriander powder, kasoori methi - a pinch, salt - as per taste , 1/2 tsp garam masala powder, 2 onions, 3 tomatoes, 3 green chillies, 10 bud garlic, 2 inch ginger, 20 cashews, 1 to 2 tsp almond milk - or water",20,30,50,3,Indian,Lunch,Vegetarian,"To make the pea masala recipe, firstly put the peas in a saucepan with water and a pinch of salt and cook till it becomes soft. Take care not to over cook the peas. Now heat oil in a pan. Add ginger, garlic and cook for 1 to 2 minutes. Now add onions and cook till they become soft. After the onion becomes soft, add green chilies, tomatoes and cook till the tomatoes become soft. Now turn off the gas and allow this mixture to cool. After cooling, add it to a mixer grinder and make a paste. Keep it aside. Till then add cashew nuts, almond milk / water and grind them in a mixer grinder. Keep this paste separately. Now heat oil in a pan. Add cumin seeds and let it splutter. After the cumin seeds crackle, add onion tomato paste and let it cook for 3 to 4 minutes. Now add turmeric powder, red chili powder, coriander powder, salt and mix well. Let it cook for 3 to 4 minutes. Now add green peas and let it cook for 5 minutes. Add kasoori methi and mix. After 2 minutes add cashew paste and let it cook on low heat for 3 minutes. Finally add garam masala, mix and garnish with green coriander. Serve Matar Masala Recipe along with Boondi Raita and Tawa Paratha for dinner."
2234,Moong Bhajji Recipe-Moong Fritters,"1 cup Yellow Moong Dal (Split) - soaked in water for 2 hours,1 Onion - chopped,4 cloves Garlic,1 teaspoon Cumin seeds (Jeera),1/2 teaspoon Asafoetida (hing),1 inch Ginger - chopped,4 Green Chillies - chopped,Coriander (Dhania) Leaves - chopped,Salt - to taste,Sunflower Oil - for deep frying",10,30,40,3,Indian,Snack,High Protein Vegetarian,"To begin making the Moong Bhajji Recipe, first wash and soak the moong dal for an hour.Drain the water from the dal completely and coarsely grind the dal along with garlic, ginger, green chillies, salt, cumin seeds and hing in a mixer grinder. Do not use any water for grinding.Add this dal mixture in a mixing bowl along  with onion and coriander leaves.Heat the oil in a wok/kadhai and drop small portions (about ½ teaspoon) of the dal batter into it. Fry till golden brown. Fry the Bhajji in batches. Take out the Moong Bhajji with a slotted spoon and drain on absorbent paper.You can also make these moong bhajji healthier by frying them in a paniyaram panHeat a Kuzhi paniyaram pan over medium heat, add 1/2 teaspoon of oil in each of the cavities of the pan.Spoon a tablespoon of moong bhaji batter into each of the cavities and pan fry until browned and crisp, flip on the other side and cook as well.Serve Moong Bhajji with Dhaniya Pudina Chutney and Date Tamarind Chutney for a tea time snack."
2235,Khichdi Roti रेसिपी - खिचड़ी रोटी (Recipe In Hindi),"1 cup khichdi - pre-made, 1/4 cup rice flour - as per use, oil - as per use, 1/4 cup onion - finely chopped, salt - as per taste",0,15,15,4,Indian,Indian Breakfast,Vegetarian,"खिचड़ी रोटी बनाने के लिए सबसे पहले एक बेकिंग पेपर को अपने तवे के साइज का काट ले और उस पर तेल लगा ले.अब एक बाउल में खिचड़ी, चावल का आटा, नमक और प्याज डाले। अच्छी तरह से मिला ले. अब धीमी आंच पर एक तवा गरम करें। आटे में से छोटा टुकड़ा ले और उस बेकिंग पेपर पर रखे. अपने हाथ से उसे रोटी की तरह फैलाए। रोटी बन जाने के बाद इस पेपर को गरम तवा पर रखे. 15 से 20 सेकण्ड्स तक रखे और फिर पेपर निकाल दे. चारो तरफ तेल डाले और दोनों तरफ से पकने तक पकाए। पकने के बाद गरमा गरम परोसे। खिचड़ी रोटी को गुजराती दाल और सेव टमाटर की सब्ज़ी के साथ परोसे।
"
